Descri??o do Alimento,GRUPO,Medida Caseira,Gramas
Açaí (IBGE),FRUTAS/SUCOS/VITAMINAS,Colher de Sopa,10
Açaí (Tucunduva),,Colher de Sopa,10
Açaí com banana - Frooty®,,Porção,60
Açaí com banana - Frooty®,,Colher de Sopa,10
Açaí com granola,FRUTAS/SUCOS/VITAMINAS,Porção,60
Açaí com granola,FRUTAS/SUCOS/VITAMINAS,Colher de Sopa,10
Açaí morango - Açaí Frooty®,,Porção,60
Açaí morango - Açaí Frooty®,,Colher de Sopa,10
Açaí natural - Açaí Frooty®,,Porção,60
Açaí natural - Açaí Frooty®,,Colher de Sopa,10
"Açaí Whey Box, 12Uni/35G",,Colher de Sopa,10
"Açaí Whey Lata, 420G, 12Doses",,Colher de Sopa,10
"Açaí Whey Sachê, 1Uni/35G",,Colher de Sopa,10
Açaí zero açúcar - AçaíFrooty®,,Porção,60
Açaí zero açúcar - AçaíFrooty®,,Colher de Sopa,10
"Açaí, c/ xarope de guaraná e glucose, suco",,Colher de Sopa,10
"Açaí, c/ xarope de guaraná e glucose, suco",,Copo Americano,150
"Açaí, c/ xarope de guaraná e glucose, suco",,Copo Médio,240
"Açaí, c/ xarope de guaraná e glucose, suco",,Copo Grande,300
"Açaí, c/ xarope de guaraná e glucose, suco",,Garrafa 200ml,200
"Açaí, c/ xarope de guaraná e glucose, suco",,Caneca,300
"Açaí, polpa, com xarope de guaraná e glucose (TACO)",,Colher de Sopa,10
"Açaí, polpa, com xarope de guaraná e glucose (TBCA)",,Colher de Sopa,10
"Açaí, polpa, congelada",,Colher de Sopa,10
"Açaí, polpa, Euterpe oleracea Mart.",,Colher de Sopa,10
Acelga,HORTALIÇAS,Porção,60
Acelga,HORTALIÇAS,Colher de Arroz,10
Acelga,HORTALIÇAS,Colher de Sopa,60
Acelga,HORTALIÇAS,Pegador,6
Acelga,HORTALIÇAS,Prato Fundo,60
Acelga,HORTALIÇAS,Folha,10
Acelga (crua),,Porção,60
Acelga (crua),,Colher de Arroz,10
