Descrição do Alimento,GRUPO,File,Bife,Fatia,Pedaço,Porção,Colher de Arroz,Colher de Sopa,Concha,Escumadeira,Colher de Chá,Colher de Café,Colher de Sobremesa,Copo Americano,Copo Médio,Copo Grande,Pegador,Pote,Prato Sobremesa,Prato Fundo,Prato Raso,Tigela,Xícara de Chá,Asa,Peito,Coxa,Sobrecoxa,Costela,Pescoço,Unidade,Unidade Pequena,Metade,Banda,Punhado,Garrafa 200ml,Caneca,Folha,Nova Medida 1,Nova Medida 2,Nova Medida 3,Nova Medida 4,Nova Medida 5,Nova Medida 6,Nova Medida 7,Nova Medida 8,Nova Medida 9,Nova Medida 10,Nova Medida 11,Nova Medida 12
Acelga cozido(a),HORTALIÇAS,,,,,60,10,6,,,,,,,,,6,,,60,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
Acelga cru(a),HORTALIÇAS,,,,,60,10,6,,,,,,,,,6,,,60,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
Acelga refogado(a),HORTALIÇAS,,,,,60,10,6,,,,,,,,,6,,,60,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
"Acelga, crua",,,,,,60,10,6,,,,,,,,,6,,,60,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
Acém assado(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acém cozido(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acém empanado(a)/a milanesa,CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acém ensopado,CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acém frito(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acém moído (cozido) - carnebovina,,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acém moído (cru) - carnebovina,,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acém refogado(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acém sem gordura (cozido) -carne bovina,,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acém sem gordura (cru) -carne bovina,,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerola (IBGE),FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerola (Tucunduva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerola congelada -DeMarchi®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerola orgânica,FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acerola, crua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acerola, polpa, congelada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acerola, polpa, madura, Malpighia spp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acerola, suco natural (néctar), c/ açúcar refinado",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
